Keyword,Content,sentiment_score,Date_of_posting,Reply_status,reply_delay,Key_relevance,app_name
bad app,Very bad app 👎👎👎,-1,2025-09-11 19:01:18,1,12.216666666666667,0.8342,Ola
price app,Very bad app 👎👎👎,-1,2025-09-11 19:01:18,1,12.216666666666667,0.6248,Ola
bad experience,Very bad app 👎👎👎,-1,2025-09-11 19:01:18,1,12.216666666666667,0.4163,Ola
value money,value for money!,0,2025-09-11 18:43:37,1,8.383333333333333,0.8556,Ola
money scammers,value for money!,0,2025-09-11 18:43:37,1,8.383333333333333,0.6402,Ola
excellent,excellent,1,2025-09-11 18:32:34,1,9.366666666666667,1.0,Ola
wise good,Good,1,2025-09-11 18:04:38,1,7.083333333333333,1.0,Ola
super,superb sarvice 👍🏻,1,2025-09-11 17:52:07,0,,0.9197,Ola
sarvice aap,superb sarvice 👍🏻,1,2025-09-11 17:52:07,0,,0.7795,Ola
emergencies ola,"Extremely unsafe and disappointing experience. Driver misconduct, wrongful charges, and being stranded mid-ride — this is what I faced. Instead of help, I was met with silence and a robotic app that offers no way to reach a real human in emergencies. Ola promised action and a refund, but nothing has been resolved. Safety and trust should never be compromised, yet both were completely ignored here. Until Ola fixes its broken support system and ensures accountability, passengers remain at risk.",-1,2025-09-11 17:31:18,1,3.7,0.5885,Ola
driver misconduct,"Extremely unsafe and disappointing experience. Driver misconduct, wrongful charges, and being stranded mid-ride — this is what I faced. Instead of help, I was met with silence and a robotic app that offers no way to reach a real human in emergencies. Ola promised action and a refund, but nothing has been resolved. Safety and trust should never be compromised, yet both were completely ignored here. Until Ola fixes its broken support system and ensures accountability, passengers remain at risk.",-1,2025-09-11 17:31:18,1,3.7,0.4005,Ola
passengers remain,"Extremely unsafe and disappointing experience. Driver misconduct, wrongful charges, and being stranded mid-ride — this is what I faced. Instead of help, I was met with silence and a robotic app that offers no way to reach a real human in emergencies. Ola promised action and a refund, but nothing has been resolved. Safety and trust should never be compromised, yet both were completely ignored here. Until Ola fixes its broken support system and ensures accountability, passengers remain at risk.",-1,2025-09-11 17:31:18,1,3.7,0.3703,Ola
silence robotic,"Extremely unsafe and disappointing experience. Driver misconduct, wrongful charges, and being stranded mid-ride — this is what I faced. Instead of help, I was met with silence and a robotic app that offers no way to reach a real human in emergencies. Ola promised action and a refund, but nothing has been resolved. Safety and trust should never be compromised, yet both were completely ignored here. Until Ola fixes its broken support system and ensures accountability, passengers remain at risk.",-1,2025-09-11 17:31:18,1,3.7,0.2634,Ola
reach real,"Extremely unsafe and disappointing experience. Driver misconduct, wrongful charges, and being stranded mid-ride — this is what I faced. Instead of help, I was met with silence and a robotic app that offers no way to reach a real human in emergencies. Ola promised action and a refund, but nothing has been resolved. Safety and trust should never be compromised, yet both were completely ignored here. Until Ola fixes its broken support system and ensures accountability, passengers remain at risk.",-1,2025-09-11 17:31:18,1,3.7,0.1322,Ola
hai parking,ola ka ek system bhohot kharab hai ki mumbai airport parking me scam chalu hai driver andar aate hai parking me hadi khada karenge then apni marji ka bada bhada jab tak nahi milega tab tak wo log jate nahi hai uske wajah se driver line aage badhati nahi jaldi abhi halat ye hai ki line me pick karne ke liye ek gadi nahi rehti aur number par 150 gadi hoti hai aur waha par ek alag line lagi huyi hoti hai jo roj ke khas bande hote hai jo sirf bade bade prime plus bhade uthate hai direct,0,2025-09-11 17:30:03,1,4.8,0.6042,Ola
unable driver,ola ka ek system bhohot kharab hai ki mumbai airport parking me scam chalu hai driver andar aate hai parking me hadi khada karenge then apni marji ka bada bhada jab tak nahi milega tab tak wo log jate nahi hai uske wajah se driver line aage badhati nahi jaldi abhi halat ye hai ki line me pick karne ke liye ek gadi nahi rehti aur number par 150 gadi hoti hai aur waha par ek alag line lagi huyi hoti hai jo roj ke khas bande hote hai jo sirf bade bade prime plus bhade uthate hai direct,0,2025-09-11 17:30:03,1,4.8,0.2294,Ola
alag line,ola ka ek system bhohot kharab hai ki mumbai airport parking me scam chalu hai driver andar aate hai parking me hadi khada karenge then apni marji ka bada bhada jab tak nahi milega tab tak wo log jate nahi hai uske wajah se driver line aage badhati nahi jaldi abhi halat ye hai ki line me pick karne ke liye ek gadi nahi rehti aur number par 150 gadi hoti hai aur waha par ek alag line lagi huyi hoti hai jo roj ke khas bande hote hai jo sirf bade bade prime plus bhade uthate hai direct,0,2025-09-11 17:30:03,1,4.8,0.2237,Ola
scam steal,ola ka ek system bhohot kharab hai ki mumbai airport parking me scam chalu hai driver andar aate hai parking me hadi khada karenge then apni marji ka bada bhada jab tak nahi milega tab tak wo log jate nahi hai uske wajah se driver line aage badhati nahi jaldi abhi halat ye hai ki line me pick karne ke liye ek gadi nahi rehti aur number par 150 gadi hoti hai aur waha par ek alag line lagi huyi hoti hai jo roj ke khas bande hote hai jo sirf bade bade prime plus bhade uthate hai direct,0,2025-09-11 17:30:03,1,4.8,0.2116,Ola
pick karne,ola ka ek system bhohot kharab hai ki mumbai airport parking me scam chalu hai driver andar aate hai parking me hadi khada karenge then apni marji ka bada bhada jab tak nahi milega tab tak wo log jate nahi hai uske wajah se driver line aage badhati nahi jaldi abhi halat ye hai ki line me pick karne ke liye ek gadi nahi rehti aur number par 150 gadi hoti hai aur waha par ek alag line lagi huyi hoti hai jo roj ke khas bande hote hai jo sirf bade bade prime plus bhade uthate hai direct,0,2025-09-11 17:30:03,1,4.8,0.1573,Ola
gokul vasan,Gokul Vasan best drive ever from ola. he was polite and professional with top notch ambience,1,2025-09-11 17:21:56,1,13.2,0.6216,Ola
drive ola,Gokul Vasan best drive ever from ola. he was polite and professional with top notch ambience,1,2025-09-11 17:21:56,1,13.2,0.5655,Ola
notch ambience,Gokul Vasan best drive ever from ola. he was polite and professional with top notch ambience,1,2025-09-11 17:21:56,1,13.2,0.2178,Ola
polite nice,Gokul Vasan best drive ever from ola. he was polite and professional with top notch ambience,1,2025-09-11 17:21:56,1,13.2,0.1938,Ola
best far,Gokul Vasan best drive ever from ola. he was polite and professional with top notch ambience,1,2025-09-11 17:21:56,1,13.2,0.1903,Ola
asking tips,"stop asking for tips ,it's upto the customer",0,2025-09-11 17:17:12,0,,0.7505,Ola
tips upto,"stop asking for tips ,it's upto the customer",0,2025-09-11 17:17:12,0,,0.6725,Ola
upto customer,"stop asking for tips ,it's upto the customer",0,2025-09-11 17:17:12,0,,0.4818,Ola
