Keyword,Content,sentiment_score,Date_of_posting,Reply_status,reply_delay,Key_relevance,app_name
good driver,good driver,1,2025-09-11 19:22:08,0,,1.0,Uber
fraud uber,i serve the government and your FRAUD UBER is in a big problem now. my last ride was life threatening and fraudulent. driver ran away and took my belonging worth rupees 16000. I will spread the real dark side of Uber and there staff. you guys stolen my property and blocked my account to close this issue. OLA is far better and safe than uber,-1,2025-09-11 19:22:05,0,,0.6926,Uber
ola far,i serve the government and your FRAUD UBER is in a big problem now. my last ride was life threatening and fraudulent. driver ran away and took my belonging worth rupees 16000. I will spread the real dark side of Uber and there staff. you guys stolen my property and blocked my account to close this issue. OLA is far better and safe than uber,-1,2025-09-11 19:22:05,0,,0.3181,Uber
property blocked,i serve the government and your FRAUD UBER is in a big problem now. my last ride was life threatening and fraudulent. driver ran away and took my belonging worth rupees 16000. I will spread the real dark side of Uber and there staff. you guys stolen my property and blocked my account to close this issue. OLA is far better and safe than uber,-1,2025-09-11 19:22:05,0,,0.2105,Uber
rupees 16000,i serve the government and your FRAUD UBER is in a big problem now. my last ride was life threatening and fraudulent. driver ran away and took my belonging worth rupees 16000. I will spread the real dark side of Uber and there staff. you guys stolen my property and blocked my account to close this issue. OLA is far better and safe than uber,-1,2025-09-11 19:22:05,0,,0.187,Uber
serve government,i serve the government and your FRAUD UBER is in a big problem now. my last ride was life threatening and fraudulent. driver ran away and took my belonging worth rupees 16000. I will spread the real dark side of Uber and there staff. you guys stolen my property and blocked my account to close this issue. OLA is far better and safe than uber,-1,2025-09-11 19:22:05,0,,0.1587,Uber
good driver,good,1,2025-09-11 19:03:13,0,,1.0,Uber
bad app,very bad app 👎👎👎,-1,2025-09-11 19:01:56,0,,0.8342,Uber
quiet trip,Great quiet trip,1,2025-09-11 18:50:24,0,,0.8641,Uber
great quiet,Great quiet trip,1,2025-09-11 18:50:24,0,,0.7008,Uber
words awesome,no words awesome,1,2025-09-11 18:37:21,0,,0.786,Uber
taxi driver,Taxi driver was very patient,1,2025-09-11 18:36:06,0,,0.7149,Uber
driver patient,Taxi driver was very patient,1,2025-09-11 18:36:06,0,,0.6548,Uber
great service,Great service.,1,2025-09-11 18:30:18,0,,0.9303,Uber
service quality,Great service.,1,2025-09-11 18:30:18,0,,0.5659,Uber
great quiet,Great service.,1,2025-09-11 18:30:18,0,,0.4554,Uber
add cash,No option to add cash in wallet. 3rd class ride app I ever used. Unable to book shuttle until I purchased a package. Poor intention to draw money from customer.,-1,2025-09-11 18:29:40,0,,0.6206,Uber
ride app,No option to add cash in wallet. 3rd class ride app I ever used. Unable to book shuttle until I purchased a package. Poor intention to draw money from customer.,-1,2025-09-11 18:29:40,0,,0.4502,Uber
unable book,No option to add cash in wallet. 3rd class ride app I ever used. Unable to book shuttle until I purchased a package. Poor intention to draw money from customer.,-1,2025-09-11 18:29:40,0,,0.2611,Uber
shuttle purchased,No option to add cash in wallet. 3rd class ride app I ever used. Unable to book shuttle until I purchased a package. Poor intention to draw money from customer.,-1,2025-09-11 18:29:40,0,,0.2496,Uber
poor intention,No option to add cash in wallet. 3rd class ride app I ever used. Unable to book shuttle until I purchased a package. Poor intention to draw money from customer.,-1,2025-09-11 18:29:40,0,,0.0264,Uber
service chutiyagiri,3rd class service chutiyagiri,0,2025-09-11 18:26:56,0,,0.8927,Uber
class service,3rd class service chutiyagiri,0,2025-09-11 18:26:56,0,,0.5521,Uber
3rd class,3rd class service chutiyagiri,0,2025-09-11 18:26:56,0,,0.4786,Uber
